90 Release D. 0 | is with | Software Revis ion D. 00
you | disinfect | monitor
WARNING | Disposing of | Monitor
you | disposing of | it
plastic parts | are marked with | ISO code for identification
plastic parts | are marked with | ISO code
sheet metal card cage | uses | only one kind of steel
sheet metal card cage | uses | only one kind
screen | has | touch resistor laminate
paper | Instructions for | Use
battery | be returned | free of charge
battery | be returned to | program run by battery manufacturer
battery | be returned to | worldwide-recycling program run by battery manufacturer
battery | be returned | free
battery | be returned to | worldwide-recycling program run
battery | can | can removed
battery | be returned to | program
battery | be returned to | program run
worldwide-recycling program | run by | battery manufacturer
program | run by | battery manufacturer
battery | be | returned
battery | can | can easily removed
battery | be returned to | worldwide-recycling program
cylinder | is | empty
hole | is in | cylinder
cylinder | is | When empty
cylinder | is | empty
You | consult | your Philips representative
cylinder | is | completely empty
You | consult | your local Philips representative
hole | is in | cylinder .307 32 Maintenance of Empty Calibration Gas Cylinders308 3333Accessories
that | are | intended
that | are | forth intended
that | are intended for | use
that | so forth are intended for | use
that | are | so forth intended
that | are intended for | single use
that | forth are intended for | use
that | so forth are intended for | single use
that | forth are intended for | single use
Reuse | cause | potential hazard
Reuse | may compromise | device functionality
cables | designed | accessories
cables | have | protection
cables | have | accessories
cables | have | protection against electric shocks
cables | have | protection against shocks
cables | are | designed
cables | have | special protection against shocks
cables | have | special protection
cables | have | special protection against electric shocks
Cable | 5-Electrode Set | 10-Electrode Cable
Cable | Set | Cable
Cable | set | AAMI Part No
Cable | set | AAMI Part No
10-Electrode Cable | set | AAMI Part No
Cable | Set | 10-Electrode Cable
Cable | 5-Electrode Set | Cable
m M1603A M1613A ICU | shielded | 1.0 m M1605A M1615A ICU Clip non-shielded 0.45 m M1608A M1618A ICU Clip non-shielded 0.7 m M1609A M1619A Description Length AAMI Part No
1.0 m M1603A M1613A ICU | shielded | 1.0 m M1605A M1615A ICU Clip 0.45 m M1608A M1618A ICU Clip 0.7 m M1609A M1619A Description Length AAMI Part No
m M1603A M1613A ICU | shielded | 1.0 m M1605A M1615A ICU Clip 0.45 m M1608A M1618A ICU Clip non-shielded 0.7 m M1609A M1619A Description Length AAMI Part No
1.0 m M1603A M1613A ICU | shielded | 1.0 m M1605A M1615A ICU Clip non-shielded 0.45 m M1608A M1618A ICU Clip non-shielded 0.7 m M1609A M1619A Description Length AAMI Part No
m M1603A M1613A ICU | shielded | 1.0 m M1605A M1615A ICU Clip non-shielded 0.45 m M1608A M1618A ICU Clip 0.7 m M1609A M1619A Description Length AAMI Part No
m M1603A M1613A ICU | shielded | 1.0 m M1605A M1615A ICU Clip 0.45 m M1608A M1618A ICU Clip 0.7 m M1609A M1619A Description Length AAMI Part No
1.0 m M1603A M1613A ICU | shielded | 1.0 m M1605A M1615A ICU Clip 0.45 m M1608A M1618A ICU Clip non-shielded 0.7 m M1609A M1619A Description Length AAMI Part No
1.0 m M1603A M1613A ICU | shielded | 1.0 m M1605A M1615A ICU Clip non-shielded 0.45 m M1608A M1618A ICU Clip 0.7 m M1609A M1619A Description Length AAMI Part No
1.0 m/1 .6 m M1623A M1633A ICU | shielded | 1.0 m/1 .6 m M1625A M1635A ICU Clip 0.7 m/1 .3 m M1629A M1639A Description Length AAMI Part No
m/1 .6 m M1623A M1633A ICU | shielded | 1.0 m/1 .6 m M1625A M1635A ICU Clip 0.7 m/1 .3 m M1629A M1639A Description Length AAMI Part No
1.0 m/1 .6 m M1623A M1633A ICU | shielded | 1.0 m/1 .6 m M1625A M1635A ICU Clip non-shielded 0.7 m/1 .3 m M1629A M1639A Description Length AAMI Part No
m/1 .6 m M1623A M1633A ICU | shielded | 1.0 m/1 .6 m M1625A M1635A ICU Clip non-shielded 0.7 m/1 .3 m M1629A M1639A Description Length AAMI Part No
Grabber M1985A ICU | Snap | 2.5 m M1977A ICU Grabber M1986A310 NBP Accessories
You | can use | them
Adult/Pediatric Multi-Patient Comfort Cuffs | Set | combiners
Adult/Pediatric Multi-Patient Comfort Cuffs | Set | Disposable Cuffs Reusable Cuff Kits
you | measure | temperature
you | are using | M3012A Measurement Server Extension
you | measure temperature at | same time
you | are using | M3012A Hemodynamic Measurement Server Extension
you | measure temperature at | time
it | connect Temperature connector at | same time
Pressure transducers | may make | it difficult
it | connect | adjacent Temperature connector
it | connect | Temperature connector
it | connect Temperature connector at | time
Pressure transducers | is with | square connectors
use | is with | Philips SpO2 technology
temperature | is below | 37oC
ambient temperature | is below | 37oC
listed sensors | operate below | 37oC
CPJ840J6 | pack of | 50
CPJ840J6 | pack of | 4
disposable pressure transducer PMK 206313 33 Accessories SpO2 AccessoriesThe M1020B SpO2 module | is with | Option A02
injury | Make | sure
use | is with | device
patient injury | Make | sure
Option A02 | is | Nellcor OxiMax-compatible version
patients | for sensor is | 2m cable
M1191AL M1191A | is with | longer cable
patients | for sensor is | 0.45 m cable
M1943 adapter cable M1192T Small adult | sensor for | patients between 15 kg
adult | pediatric sensor for | patients between 15 kg
adult | sensor for | patients
Small adult | sensor for | patients between 15 kg
adult | sensor for | patients between 15 kg
Small adult | sensor for | patients
Small adult | sensor for | patients between 15 kg
patients | for sensor is | 1.5 m cable
Small adult | pediatric sensor for | patients between 15 kg
Small adult | pediatric sensor for | patients
adult | pediatric sensor for | patients
patients | for sensor is | 1.5 m cable
patients | for sensor is | 1.5 m cable
patients | for sensor is | 1.5 m cable
OxiMax MAX-AL OxiMax MAX-A | is with | long cable
OxiCliq P | See | OxiMax MAX-P
Masimo Sensors | for Cable is | 8-pin version
low perfusion performance | is with | Masimo Sensors
use | is with | Masimo SET SpO2 Module from Philips Temperature Accessories
989803140251 Pediatric Adhesive Sensors | box of | 20
disposable pressure transducer PULSION PMK 206319 33 Accessories Mainstream CO2 Accessories | Accessories for | M3014A
information Pressure Transducer Kits | Accessories for | M3014A
FilterLine | is with | Airway Adapter
• H | indicates | suitability for ventilation due to active removal from sample line
• H | indicates | suitability for humidified ventilation due to removal of humidity
• H | indicates | suitability for humidified ventilation due to active removal
• H | indicates | suitability for humidified ventilation due to removal from sample line
• H | is in | accessory name
• H | indicates | suitability for humidified ventilation due to removal of humidity from sample line
• H | indicates | suitability for ventilation due to removal of humidity
• H | indicates | suitability for humidified ventilation
• H | indicates | suitability for humidified ventilation due to active removal from sample line
• H | indicates | suitability
• H | indicates | suitability for ventilation due to removal of humidity from sample line
• H | indicates | suitability for ventilation due to active removal of humidity from sample line
• H | indicates | suitability for humidified ventilation due
• H | indicates | suitability for ventilation due to active removal
• H | indicates | suitability for humidified ventilation due to active removal of humidity
• H | indicates | suitability for ventilation due to removal from sample line
• H | indicates | suitability for ventilation due to active removal of humidity
• H | indicates | suitability for ventilation
• H | indicates | suitability for ventilation due
• H | indicates | suitability for humidified ventilation due to removal
• H | indicates | suitability for humidified ventilation due to active removal of humidity from sample line
• H | indicates | suitability for ventilation due to removal
CapnoLine | is | combined
• Smart CapnoLine | is | FilterLine
• Smart CapnoLine | is | combined FilterLine
• Smart CapnoLine | is | combined oral-nasal FilterLine
CapnoLine | is | oral-nasal
• Smart CapnoLine | is | oral-nasal FilterLine
CapnoLine | is | combined
• Smart CapnoLine O2 | is | oral-nasal-O2-CO2 FilterLine
• Smart CapnoLine | is | combined oral-nasal-O2-CO2 FilterLine
• Smart CapnoLine O2 | is | combined oral-nasal-O2-CO2 FilterLine
• Smart CapnoLine | is | oral-nasal-O2-CO2 FilterLine
• NIV Line | is | FilterLine suitable for mask ventilation
Line | is | suitable
• NIV Line | is | FilterLine suitable
• NIV Line | is | FilterLine
Line | is | nasal
• NIV Line | is | nasal FilterLine
• NIV Line | is | nasal FilterLine suitable for mask ventilation
• NIV Line | is | nasal FilterLine suitable
CO2 measurement | means | CO2 measurement
• | are | supplied in packs
• | are | supplied
• | are | supplied in packs of 25
patient | Is | intubated
transducer | is | designed
specified transducer | have | protection
transducer | have | protection
specified transducer | have | protection against shocks
transducer | have | special protection against shocks
specified transducer | is | designed
transducer | have | special protection
transducer | have | special protection against electric shocks
transducer | have | protection against electric shocks
specified transducer | have | special protection against electric shocks
transducer | have | protection against shocks
specified transducer | have | special protection against shocks
specified transducer | have | protection against electric shocks
specified transducer | have | special protection
Aspect BIS sensors | is with | BIS module
Aspect | has | patented ZipPrep technology
sensor | is | silver/silverchloride
sensor/electrodes | are for | single patient use only
sensor/electrodes | are for | patient use
sensor/electrodes | are for | single patient use
sensor/electrodes | are for | patient use only
sensor cable | is | re-usable
electrodes | are | single patient use
electrodes | are | patient use only
sensor cable | has | maximum number
electrodes | are | patient use
sensor cable | has | number of uses
sensor cable | has | maximum number of uses
sensor cable | has | number
electrodes | are | single patient use only
uses | remain for | sensor cable
many uses | remain for | sensor cable
Trunk Cable 2.7 m M2268A Trunk Cable | cables with | clip M1934A Disposable EEG electrodes
1.0 m M2269A Reusable 80-cm-long 5-lead cables leadwired cup electrodes M1931A Reusable 80-cm-long 5-lead cables | is with | 6mm silver/silverchloride
Trunk Cable 2.7 m M2268A Trunk Cable | cables with | 6mm silver/silverchloride
1.0 m M2269A Reusable 80-cm-long 5-lead cables leadwired cup electrodes M1931A Reusable 80-cm-long 5-lead cables | is with | clip M1934A Disposable EEG electrodes
1.0 m M2269A Reusable 80-cm-long 5-lead cables | is with | 10mm silver/silverchloride
Philips | ordering | number SvO2 Accessories Contact
Part numbers | may vary according to | country of purchase
Part numbers | may vary according to | country
specifications | is in | section
They | must | must installed by qualified service personnel
They | must | must installed
They | must | must installed by service personnel
Intended | are | intended
Intended | are intended | used for monitoring
neonates | is in | health care facilities
Intended | be | used
Intended | are intended | used
Intended | be used for | monitoring
MP20/MP30/MP40 | are | intended for use within hospital setting
MP20/MP30/MP40 | are | additionally intended for use in transport situations within hospital setting
MP20/MP30/MP40 | are | intended
MP20/MP30/MP40 | are | intended for use in transport situations
use | is in | transport situations
MP20/MP30/MP40 | are | intended for use
MP20/MP30/MP40 | are | additionally intended for use within hospital setting
MP20/MP30/MP40 | are | additionally intended for use
MP20/MP30/MP40 | are | intended for use in transport situations within hospital setting
MP20/MP30/MP40 | are | additionally intended
MP20/MP30/MP40 | are | additionally intended for use in transport situations
use | is in | health care facilities
monitors | are for | only use on one patient
monitors | are for | use on one patient
monitors | are for | only use on one patient at time
monitors | are for | only use at time
monitors | are for | use on one patient at time
monitors | are for | use
monitors | are for | only use
monitors | are for | use at time
gas measurement | is restricted to | neonatal patients only
transcutaneous gas measurement | is restricted to | neonatal patients only
transcutaneous gas measurement | is restricted to | patients
gas measurement | is | restricted
transcutaneous gas measurement | is restricted to | patients only
transcutaneous gas measurement | is restricted to | neonatal patients
gas measurement | is restricted to | neonatal patients
transcutaneous gas measurement | is | restricted
gas measurement | is restricted to | patients only
gas measurement | is restricted to | patients
ST segment monitoring | is intended for | use with adult patients
use | is with | adult patients
segment monitoring | is intended for | use with adult patients
segment monitoring | is intended for | use with patients
ST segment monitoring | is intended for | use with patients
ST segment monitoring | is intended for | use
segment monitoring | is | intended
segment monitoring | is intended for | use
ST segment monitoring | is | intended
ECG measurement | be used for | recording of rhythm
ECG measurement | be used for | diagnostic recording of rhythm of complex complexes
ECG measurement | is intended | used for recording
ECG measurement | be used for | recording of rhythm of cardiac complexes
ECG measurement | is intended | used
ECG measurement | is intended | used for recording of rhythm of cardiac complexes
ECG measurement | is intended | used for diagnostic recording
ECG measurement | is intended | used for diagnostic recording of rhythm of complex cardiac complexes
ECG measurement | be used for | recording of rhythm of complex cardiac complexes
ECG measurement | is | intended
ECG measurement | be used for | diagnostic recording of rhythm of complexes
ECG measurement | is intended | used for diagnostic recording of rhythm of cardiac complexes
ECG measurement | be used for | recording of rhythm of complex complexes
ECG measurement | is intended | used for diagnostic recording of rhythm of complexes
ECG measurement | is intended | used for recording of rhythm of complex cardiac complexes
ECG measurement | be used for | recording
ECG measurement | is intended | used for recording of rhythm of complexes
ECG measurement | be used for | diagnostic recording
ECG measurement | be used for | recording of rhythm of complexes
ECG measurement | is intended | used for recording of rhythm
ECG measurement | is intended | used for diagnostic recording of rhythm
ECG measurement | be used for | diagnostic recording of rhythm of complex cardiac complexes
ECG measurement | be | used
ECG measurement | is intended | used for diagnostic recording of rhythm of complex complexes
ECG measurement | is intended | used for recording of rhythm of complex complexes
ECG measurement | be used for | diagnostic recording of rhythm of cardiac complexes
ECG measurement | be used for | diagnostic recording of rhythm
BIS | is intended for | use under supervision of health care practitioner
BIS | is intended for | use under direct supervision of licensed health care practitioner
BIS | is intended for | use under direct supervision
BIS | is intended for | use under supervision
BIS | is intended for | use
BIS | is intended for | use under supervision of licensed health care practitioner
BIS | is | intended
BIS | is intended for | use under direct supervision of health care practitioner
It | is intended for | use on adult patients within hospital
It | is intended for | use on patients
It | is intended for | use on adult patients
It | is intended for | use on patients within hospital
It | is intended for | use
It | is | intended
BIS | may | may used
BIS | may | may used as aid
Use | may | may associated with reduction with recall in adults during general anesthesia
Use | may | may associated with reduction with recall
Use | may | may associated with reduction of incidence with recall in adults
Use | may | may associated with reduction of incidence with recall in adults during anesthesia
Use | may | may associated with reduction with recall in adults during anesthesia
Use | may | may associated with reduction
Use | may | may associated with reduction of incidence with recall
Use | may | may associated with reduction of incidence
Use | may | may associated with reduction of incidence of awareness with recall in adults during anesthesia
Use | may | may associated with reduction of incidence of awareness with recall in adults
recall | is in | adults
Use | may | may associated with reduction of incidence with recall during general anesthesia
Use | may | may associated with reduction of incidence of awareness with recall
Use | may | may associated
Use | may | may associated with reduction with recall during anesthesia
Use | may | may associated with reduction of incidence with recall during anesthesia
Use | may | may associated with reduction with recall in adults
Use | may | may associated with reduction with recall during general anesthesia
Use | may | may associated with reduction of incidence of awareness with recall in adults during general anesthesia
Use | may | may associated with reduction of incidence of awareness with recall during anesthesia
Use | may | may associated with reduction of incidence of awareness with recall during general anesthesia
Use | may | may associated with reduction of incidence of awareness
Use | may | may associated with reduction of incidence with recall in adults during general anesthesia
reduction | is with | recall in adults during general anesthesia
monitor | is indicated for | use
monitor | is indicated for | Use
monitor | is | for Use indicated for use
monitor | is | indicated
need | monitoring | parameters
need | monitoring | physiological parameters
BIS Manufacturer | 's BISx is | BIS engine
BIS Manufacturer | has | Information BISx
Patient Interface Cable | are manufactured by | Aspect Medical Systems
Patient Interface Cable | are | manufactured
amsint@aspectms.com326 Manufacturer | has | Information
BIS Manufacturer | 's BISx is | DSC
Patient Interface Cable | manufactured | BIS Sensor
Bispectral Index | trademarks | BIS
Bispectral Index | are registered | EU countries
Bispectral Index | are registered EU countries in | USA
Bispectral Index | are trademarks of | Aspect Medical Systems Inc
Bispectral Index | are | trademarks
OxisensorΤΜ II | are | trademarks
OxisensorΤΜ II | trademarks | OxiMaxΤΜ
OxisensorΤΜ II | are trademarks of | Tyco Healthcare Group LP
OxisensorΤΜ II | are trademarks of | Nellcor Puritan Bennett Division
OxisensorΤΜ II | trademarks | Oxi-CliqΤΜ
Microstream | trademarks | Smart CapnoLine
Microstream | trademarks | Smart CapnoLine
Microstream | trademarks of | Oridion Systems Ltd.
Microstream | are | trademarks
Microstream | registered trademarks | Smart CapnoLine
Microstream | trademarks | FilterLine
Microstream | registered trademarks | FilterLine
Microstream | trademarks | FilterLine
Microstream | registered trademarks of | Oridion Systems Ltd.
Citrix ® | are registered | trademarks
Citrix ® | are registered | trademarks of Citrix Systems
Masimo | federally registered trademarks | Masimo SET
Masimo | trademarks | LNOP
Masimo | registered trademarks | Masimo SET
Masimo | registered trademarks | LNOP
Masimo | are federally registered trademarks of | Masimo Corporation
Masimo | are | trademarks
Masimo | are trademarks of | Masimo Corporation
Masimo | are | federally registered trademarks
Masimo | trademarks | Masimo SET
Masimo | federally registered trademarks | LNOP
Masimo | are | registered trademarks
Masimo | are registered trademarks of | Masimo Corporation
Other product | be | may trademarks
product | be | may trademarks
may trademarks | appear on | monitor
Symbols | accompanying | documents earth RS232 connector Standby Equipotential grounding Identifies year
Symbols | accompanying | documents Protective earth RS232 connector Standby Equipotential grounding Identifies year
older measurement servers | may indicate | gas input
measurement servers | may indicate | gas input
multiple instruments | are | connected
instruments | are | connected
sum | exceed | limits given
Connector | has | protection
limits | sum of | leakage currents
sum | exceed | limits
multiple instruments | are connected to | patient
sum | exceed | limits given in IEC/EN60601 -1
instruments | are connected to | patient
Connectors | actual placement of | boards of connections for your monitor
Connectors | placement of | boards of connections
Connectors | actual placement of | boards
Connectors | placement of | boards of connections for your monitor
your hardware | has | how has configured
your hardware | has | has configured
Connectors | actual placement of | boards of connections
Connectors | placement of | boards
WARNING | Connect | medical devices
WARNING | Connect | only devices
WARNING | Connect | only medical devices
WARNING | Connect | devices
WARNING | Connect devices to | ECG output connector socket
Philips device connection indicator Analog interface indicator | display | Digital interface indicator
Philips remote device connection indicator Analog interface indicator | display | Digital interface indicator
monitor | connections | MP80/MP90 processing unit
monitor | separate connections | MP80/MP90 processing unit
monitors | are used in | examinations
monitors | are used in | internal examinations on heart
monitors | are | used
monitors | are used in | examinations on heart
monitors | are used in | internal examinations
socket outlet | is | supplied
socket outlet | is supplied for | use
socket outlet | is | supplied specifically
socket outlet | is supplied specifically for | use
use | is with | equipment
monitors | use | double pole/neutral fusing
monitors | use | fusing
monitors | use | double fusing
monitors | use | pole/neutral fusing
329 34 Installation | Left side of | monitor
329 34 Installation | side | Specifications Installation Safety InformationMP20/MP30 MP20/MP30
4 ECG analog output/marker input connector | rear of | processing unit
11 Side cover | is with | antenna for IntelliVue Instrument Telemetry Wireless Network
329 34 Installation | side of | monitor
329 34 Installation | Left side | Specifications Installation Safety InformationMP20/MP30 MP20/MP30
use | is with | wireless LAN
3 Combined power/network cable | affects | tcGas measurements
LED | indicates During | operation
Combined power/network cable | affects | tcGas measurements
monitor | must | must configured at installation to correct altitude
monitor | must | must configured at installation
monitor | must | must configured to correct altitude
monitor | must | must configured at installation to altitude
monitor | must | must configured
monitor | must | must configured to altitude
Monitor Safety Specifications | monitors together with | M3001A
Monitor Safety Specifications | monitors together with | Multi-Measurement Server
product | complies with | IEC
product | complies In | addition
Type BF | applied | part
possibility | was minimized in | compliance with ISO 14971:2000 :1999
possibility | was minimized in | compliance
possibility | was | minimized
compliance | is with | ISO 14971:2000 :1999
MP20/30 | comply with | part 15 FCC Rules
MP40/50 | is with | IntelliVue Instrument Telemetry adapter
MP20/30 | comply with | part 15
MP20/30 | comply with | part 15 of FCC Rules
Operation | is | subject
Operation | requires | coordination
Operation | requires | prior coordination with frequency coordinator designated by FCC
Operation | requires | prior coordination
Operation | requires | coordination with frequency coordinator designated for Wireless Medical Telemetry Service
Operation | requires | coordination with frequency coordinator designated by FCC
Operation | requires | prior coordination with frequency coordinator designated for Wireless Medical Telemetry Service
Operation | requires | coordination with frequency coordinator designated by FCC for Wireless Medical Telemetry Service
Operation | requires | coordination with frequency coordinator
Operation | requires | prior coordination with frequency coordinator
Operation | requires | prior coordination with frequency coordinator designated by FCC for Wireless Medical Telemetry Service
prior coordination | is with | frequency coordinator designated by FCC for Wireless Medical Telemetry Service
Operation | requires | coordination with frequency coordinator designated
Operation | requires | prior coordination with frequency coordinator designated
maximum antenna gain | stated in | RSS-210
maximum antenna gain | permitted | complies with e.i.r.p. limits
devices | is in | 5250-5350 MHz
maximum antenna gain | permitted | complies with limits
maximum antenna gain | permitted | complies
devices | is in | 5725-5825 MHz band
maximum antenna gain | permitted for | devices
maximum antenna gain | permitted for | devices in 5725-5825 MHz band
usage | reduce | potential
device | is for | usage
indoor usage | reduce | potential for interference to co-channel satellite systems
indoor usage | reduce | potential for harmful interference to co-channel mobile satellite systems
indoor usage | reduce | potential for interference to co-channel mobile satellite systems
indoor usage | reduce | potential
usage | reduce | potential for harmful interference to co-channel mobile satellite systems
usage | reduce | potential for interference to co-channel satellite systems
usage | reduce | potential for harmful interference to co-channel satellite systems
indoor usage | reduce | potential for harmful interference
device | is for | indoor usage
device | is for | only indoor usage
device | is for | only usage
indoor usage | reduce | potential for interference
usage | reduce | potential for interference
usage | reduce | potential for interference to co-channel mobile satellite systems
usage | reduce | potential for harmful interference
indoor usage | reduce | potential for harmful interference to co-channel satellite systems
0366 Monitor Safety Specifications 34 Installation | is in | compliance with requirements
0366 Monitor Safety Specifications 34 Installation | is in | compliance
0366 0123336 Monitor Safety Specifications 34 Installation | is in | compliance
0366 0123336 Monitor Safety Specifications 34 Installation | is in | compliance with essential requirements
0366 0123336 Monitor Safety Specifications 34 Installation | is in | compliance with requirements
0366 Monitor Safety Specifications 34 Installation | is in | compliance with essential requirements
compliance | is with | essential requirements
CAUTION power radars | are allocated as | users
CAUTION power radars | are | allocated
CAUTION High power radars | are allocated as | users
CAUTION power radars | are allocated as | primary users
CAUTION High power radars | are allocated as | primary users
CAUTION High power radars | are | allocated
36 mm | 1.4 in | M1012A Cardiac Output
103 mm 4 | is in | M8031A XGA Touchscreen LCD
99.6 mm 1.4 | is in | M1029A Temperature Module 215 g
2700g 5.95 lb 250 | is in | dimensions
M1029A Temperature Module 215 g | in mm is | 7.6 oz
43 mm 1.7 | is in | M1032A Vuelink Module 240 g
36 mm 1.4 | is in | M1116B Thermal Array Recorder Module 507.5 g
M1032A Vuelink Module 240 g | in mm is | 8.4 oz
M1034A BIS Interface | in g is | 7.4 oz
< M1027A Electroencephalograph Module 210 g 36 | is in | M1034A BIS Interface
BISx | is with | in PIC Plus Cable
monitor | have differing | specifications
monitor | have differing | environmental specifications
3000 m | to m is | 10000 ft
MP70 | is in | conjunction with IntelliVue 802.11 Bedside Adapter
12000 m | to m is | 40000 ft
-4 Battery storage -20 50 ° C Monitor MP60 | MP70 in | conjunction with IntelliVue 802.11 Bedside Adapter
conjunction | is with | IntelliVue 802.11 Bedside Adapter
15300 m | to m is | -1600 50000 ft
3000 m | to m is | 10000 ft
3000 m | to m is | 10000 ft
4600 m | to m is | -1600 15000 ft
12000 m | to m is | 40000 ft
12000 m | to m is | 40000 ft
MP20/MP30 monitors | can operate with | one battery
Thermal Array Recorder Module M1116B Item Condition Range M4605A Battery Specifications Physical Specifications W x D x H 149 mm | 5.866 in | x89 mm
battery Performance Specifications Nominal Voltage 10.8 Volt Rated Capacity | per g is | 1.08 lb
MP50 Current 1.8 1.0 Frequency 50/60 Hz ~ Battery Specifications MP40/MP50 Operating Time | is with | 2 new
0 50 ° C | Charge to | 45 ° C
45 ° C | to Charge is | 32 113 ° F
12 sec | choices of | number
Trends Resolution 12 16 | numerics @ | 12 sec depending on trend option
hours | are | drawn
9 hours | are | drawn
3.5 MP20/30 | Specifications for | example Centronics
stereo phone jack | is with | tip
application | can | can controlled by monitor user input devices
application | can | can controlled
15 mm/s | mm/s with | ± 5 % accuracy
Pixel size 0.297 | in 12 is | M8031B
30 mm/s | is with | ± 5 % accuracy
ECG/Arrhythmia/ST Complies | is with | IEC 60601-2-25 :1993 :1999
300 bpm Resolution 1 bpm ST Numeric Range | to % is | whichever
range Resolution 1 bpm Sensitivity ≥ 200 µVpeak PVC Rate Range 0 | of % is | whichever
Tall T-Wave Rejection Capability | Exceeds | ANSI/AAMI EC
7.2 seconds | Gain | 1.0 Range
seconds | Gain | 1.0 Range
3.1.2.1 minimum | recommended | 1.2 mV T-Wave amplitude349 34 Installation
3.1.2.1 minimum | recommended | 1.2 mV amplitude349 34 Installation
heart rate | averaging | 12 RR intervals
heart rate | averaging | 12 most recent RR intervals
heart rate | averaging | 12 recent RR intervals
each | is greater than | 1200 ms
each | is | greater
Change | is in | Heart Rate HR change from 80
ECG/Arrhythmia/ST Supplemental Information | required by | AAMI EC11/13 Respiration Performance Specifications Respiration Rate Range Adult/pedi
SpO2 accuracy | has | has validated in studies against arterial blood sample reference measured
SpO2 accuracy | has | has validated in studies against blood sample reference measured with CO-oximeter
SpO2 accuracy | has | has validated in studies
SpO2 accuracy | has | has validated in studies against arterial blood sample reference
SpO2 accuracy | has | has validated in studies against blood sample reference
SpO2 accuracy | has | has validated in human studies against blood sample reference measured with CO-oximeter
SpO2 accuracy | has | has validated in human studies against arterial blood sample reference measured
SpO2 accuracy | has | has validated in human studies
SpO2 accuracy | has | has validated in studies against blood sample reference measured
SpO2 accuracy | has | has validated in human studies against blood sample reference measured
SpO2 accuracy | has | has validated in studies against arterial blood sample reference measured with CO-oximeter
SpO2 accuracy | has | has validated in human studies against arterial blood sample reference measured with CO-oximeter
SpO2 accuracy | has | has validated in human studies against blood sample reference
SpO2 accuracy | has | has validated in human studies against arterial blood sample reference
SpO2 accuracy | has | has validated
Pulse oximeter measurements | are | distributed
Pulse oximeter measurements | are statistically distributed about | only two-thirds
Pulse oximeter measurements | are statistically distributed about | two-thirds of measurements
Pulse oximeter measurements | are distributed about | only two-thirds
Pulse oximeter measurements | are distributed about | two-thirds of measurements
Pulse oximeter measurements | are statistically distributed about | two-thirds
Pulse oximeter measurements | are | statistically distributed
Pulse oximeter measurements | are statistically distributed about | only two-thirds of measurements
Pulse oximeter measurements | are distributed about | two-thirds
Pulse oximeter measurements | are distributed about | only two-thirds of measurements
M1195AN = 3 % Philips Disposable Sensors | is with | M1943NL
® | is with | AC-1
4 % Philips Disposable Sensors | is with | M1943A
Dura-Y D-YS | is with | D-YSE
2 % M1193AN | Sensors with | M1943NL
3 % MAX-R | D-YS with | D-YSE
Dura-Y D-YS | Infant to | Adult
NellcorPB ® Sensors | is with | M1943A
M1904B = 2 % M1901B = 3 % NellcorPB ® Sensors | is with | M1943NL
14 seconds | Clamping to | low limit 0
14 seconds | Clamping to | low limit 0 50 bpm 5 bpm steps
14 seconds | Clamping to | limit 0 50 bpm 5 bpm steps
14 seconds | Clamping to | limit 0
intra-arterial measurements | is in | representative patient population
5th Korotkoff sound | was | used
Korotkoff sound | determine | pressure
Korotkoff sound | was used For | reference
5th Korotkoff sound | was used For | reference
Korotkoff sound | was | used
5th Korotkoff sound | determine | pressure
5th Korotkoff sound | determine | diastolic pressure
5th Korotkoff sound | was used | determine
5th Korotkoff sound | was used For | auscultatory reference
Korotkoff sound | was used For | auscultatory reference
Korotkoff sound | determine | diastolic pressure
Korotkoff sound | was used | determine
intra-arterial measurements | is in | representative patient population
Repetition Times 1 2 2.5 3 5 10 15 20 30 45 | deflation after | Adult/pediatric 170 seconds Neonatal
14 seconds | Clamping to | low limit 0
14 seconds | Clamping to | low limit 0 50 bpm 5 bpm steps
14 seconds | Clamping to | limit 0 50 bpm 5 bpm steps
14 seconds | Clamping to | limit 0
45 ° C | to steps is | 0.1 ° C
45 ° C | to steps is | 95 113 ° F
35 ° C | to Adjustment is | 30 95 ° F
CO2 measurement | is in | M3014A
formula | is | PBTPS PSTPD
formula | is | PBTPS = PSTPD
60 rpm | is in | adult mode
accuracy | reaches at | minimum ± 4 mmHg
accuracy | reaches at | ± 4 mmHg
accuracy | reaches at | ± 4 mmHg of reading
accuracy | reaches at | minimum ± 4 mmHg of reading
356 Measurement Specifications | can | can selected as humidity correction factor
356 Measurement Specifications | can | can selected as humidity correction factor for Mainstream CO2 readings
Measurement Specifications | can | can selected as humidity correction factor
Measurement Specifications | can | can selected
Measurement Specifications | can | can selected as humidity correction factor for Mainstream CO2 readings
356 Measurement Specifications | can | can selected
values | For mmHg is | ± 0.29 kPa
2 150 rpm Accuracy ± 1 rpm Warm-up Time | is with | CO2 transducer attached for full accuracy specification Response Time
ranges | are | ± 12 %
± 2.0 mmHg | % of | actual
ranges | are | ± 12 % of actual
values | For mmHg is | ± 0.29 kPa
values | For mmHg is | ± 12 % of actual
balance N2 | gas at | 760 mmHg
specifications | are | valid
specifications | are valid for | gas mixtures of CO2
specified operating temperature range | within N2 is | dry gas at 760 mmHg
specifications | are valid for | gas mixtures
2 150 rpm Accuracy ± 1 rpm Warm-up Time | is with | CO2 sensor attached for full accuracy specification Sample Flow Rate
Mainstream CO2 Humidity Correction Factor | can | can selected as humidity correction factor
Mainstream CO2 Humidity Correction Factor | can | can selected
